script,logic,safety,context,human,system,rating
validate_metadata.py,PASS,PASS,PASS,PASS,PASS,4
standardize_metadata.py,PASS,PASS,PASS,PASS,PASS,4
platform_health.py,PASS,WARN,PASS,PASS,PASS,3
check_script_traceability.py,PASS,PASS,PASS,PASS,PASS,3
validate_enums.py,PASS,PASS,PASS,PASS,PASS,3
pr_guardrails.py,PASS,PASS,PASS,PASS,PASS,3
audit_metadata.py,PASS,WARN,PASS,PASS,WARN,2
backfill_metadata.py,PASS,WARN,PASS,PASS,WARN,2
check_compliance.py,PASS,WARN,PASS,PASS,WARN,2
check_doc_freshness.py,WARN,WARN,PASS,PASS,WARN,1
check_doc_index_contract.py,WARN,WARN,PASS,PASS,WARN,1
ecr-build-push.sh,WARN,WARN,PASS,PASS,WARN,1
enforce_emoji_policy.py,PASS,PASS,PASS,PASS,PASS,3
extract_relationships.py,WARN,WARN,PASS,PASS,WARN,1
fix_yaml_syntax.py,WARN,WARN,PASS,PASS,WARN,1
format_docs.py,WARN,WARN,PASS,PASS,WARN,1
generate-build-log.sh,WARN,WARN,PASS,PASS,WARN,1
generate-teardown-log.sh,WARN,WARN,PASS,PASS,WARN,1
generate_adr_index.py,PASS,PASS,PASS,PASS,PASS,3
generate_catalog_docs.py,PASS,PASS,PASS,PASS,PASS,3
generate_governance_vocab.py,PASS,PASS,PASS,PASS,PASS,3
generate_script_index.py,PASS,PASS,PASS,PASS,PASS,3
generate_workflow_index.py,PASS,PASS,PASS,PASS,PASS,3
lib/metadata_config.py,PASS,N/A,PASS,PASS,PASS,3
lib/vq_logger.py,PASS,PASS,PASS,PASS,PASS,3
migrate_partial_metadata.py,WARN,WARN,PASS,PASS,WARN,1
policy-enforcement/check-policy-compliance.py,WARN,WARN,PASS,PASS,WARN,1
reliability-metrics.sh,WARN,WARN,PASS,PASS,WARN,1
render_template.py,WARN,WARN,PASS,PASS,WARN,1
resolve-cluster-name.sh,WARN,WARN,PASS,PASS,WARN,1
scaffold_ecr.py,WARN,WARN,PASS,PASS,WARN,1
sync_backstage_entities.py,WARN,WARN,PASS,PASS,WARN,1
test_hotfix.py,PASS,PASS,PASS,PASS,PASS,3
test_platform_health.py,PASS,PASS,PASS,PASS,PASS,3
validate_routing_compliance.py,WARN,WARN,PASS,PASS,WARN,1
